nombre_comun,sinonimos,nombre_cientifico,reino,filo,clase,orden,familia,genero,gbif_taxon_key
"Sapito cuatro ojos,Sapito 4 ojos;Sapito de cuatro ojos,Pleurodema thaul,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Pleurodema,2424687"
Ranita de Darwin,Sapito de Darwin,Rhinoderma darwinii,Animalia,Chordata,Amphibia,Anura,Rhinodermatidae,Rhinoderma,2424419
"Zorro culpeo,Culpeo;Zorro colorado,Lycalopex culpaeus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,2434533"
"Zorro chilla,Chilla;Zorro gris,Lycalopex griseus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,2434535"
Puma,León de montaña,Puma concolor,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,2435099
Huemul,Ciervo sur andino,Hippocamelus bisulcus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,2440899
"Pudú,Pudu;Pudú del sur,Pudu puda,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,2440901"
Monito del monte,Chiloé opossum,Dromiciops gliroides,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,2433346
"Cóndor andino,Cóndor;Condor,Vultur gryphus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Vultur,2481928"
Flamenco chileno,Parina,Phoenicopterus chilensis,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,2481919
Carpintero negro,Pico negro,Campephilus magellanicus,Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,2477285
Pingüino de Humboldt,Pinguino de Humboldt,Spheniscus humboldti,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,2481662
Loica,Loica chilena,Leistes loyca,Animalia,Chordata,Aves,Passeriformes,Icteridae,Leistes,9521360
Lagartija oscura,Lagartija común,Liolaemus oscorrorum,Animalia,Chordata,Repitilia,Squamata,Liolaemidae,Liolaemus,2466000
Guanaco,Guanaco chileno,Lama guanicoe,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,2441090
Chinchilla cordillerana,Chinchilla real,Chinchilla chinchilla,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,2439851
Araucaria,Pehuén,Araucaria araucana,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,2684940
Copihue,Flor nacional,Lapageria rosea,Plantae,Tracheophyta,Liliopsida,Liliales,Philesiaceae,Lapageria,2770281
Litre,Litre chileno,Lithraea caustica,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Lithraea,3661815
